playerid	position	teamid	number	firstname	lastname	nationality	prefFoot	accel	aggression	awareness	ballcontrol	crossing	dribbling	heading	longpassing	marking	sprint	shortpassing	reflexes	finishing	shotpower	stamina	strength	standingtackle	positioning	composure	handling	gkpositioning	reactions	longshots	freekick	diving	WFA	potential	ovr	skill
231503	ST	7	44	Bassala	Sambou	14	0	76	40	35	47	27	45	45	33	20	77	37	20	58	46	52	67	20	54	46	20	20	50	49	34	7	2	73	54	POSITIONING
231580	CAM	7	51	Antony	Evans	14	0	65	43	61	66	55	65	47	54	50	67	61	20	50	63	69	45	41	49	61	20	20	61	50	57	10	2	76	60	SHORTPASSING
232203	LM	7	46	Anton-Leander	Donkor	21	0	63	41	48	61	58	62	54	44	25	63	56	20	60	70	58	66	29	57	50	20	20	55	55	49	12	2	74	58	AWARENESS
232545	RW	7	55	Nathan	Broadhead	50	0	64	38	39	60	51	50	49	42	20	66	50	20	62	65	59	54	28	52	49	20	20	42	62	42	9	3	73	55	LONGSHOTS
233782	CB	7	48	Morgan	Feeney	14	0	49	52	38	42	35	33	59	29	50	51	34	20	30	45	54	65	64	31	50	20	20	57	21	30	6	1	73	56	PHYSICAL
236637	CM	7	64	Dennis	Adeniran	14	0	64	65	53	54	39	51	56	58	39	68	65	21	52	65	61	70	47	51	46	21	21	50	48	28	8	2	72	55	AWARENESS
237809	RM	7	42	Josh	Bowler	14	1	60	39	43	62	49	63	34	46	24	56	46	21	58	53	63	43	31	40	47	21	21	46	39	35	14	1	73	53	AWARENESS
238062	CM	7	54	Beni	Baningime	110	0	51	67	49	58	43	60	55	63	57	59	68	21	34	61	51	50	62	39	50	21	21	58	38	47	9	2	78	56	SETPIECES
238063	GK	7	56	Chris	Renshaw	14	0	31	28	26	21	21	21	21	50	21	25	21	50	21	21	21	40	21	7	39	55	40	38	21	12	52	1	64	48	GKGENERALIST
238296	ST	7	59	Boris	Mathis	18	0	64	60	40	52	42	70	56	45	21	57	53	21	66	61	55	70	21	43	55	21	21	61	54	42	6	1	74	59	POSITIONING
238482	GK	7	45	Louis	Gray	50	0	33	21	29	21	21	21	21	48	21	29	21	54	21	21	22	58	21	5	37	51	51	42	21	11	56	2	63	52	GKGENERALIST
238483	CM	7	60	Jack	Kiersey	14	0	60	50	60	64	54	62	55	63	44	66	65	21	53	67	44	39	48	54	65	21	21	59	50	56	14	2	74	60	SHORTPASSING
238990	ST	7	52	Shayne	Lavery	35	0	74	31	36	61	41	52	56	39	21	73	49	21	59	58	51	48	21	62	52	21	21	56	58	37	13	1	75	59	HEADING
240496	LB	7	57	Lewis	Gibson	14	1	64	54	36	53	28	49	58	33	58	58	37	21	26	48	64	44	62	33	44	21	21	54	30	36	9	1	72	52	REACTIONS
240746	RM	7	62	Daniel	Bramall	42	1	79	31	44	58	57	62	50	49	32	77	60	21	55	63	54	38	31	51	51	21	21	43	46	42	11	2	73	60	GENERALIST
240747	CDM	7	61	Alex	Denny	14	0	56	62	53	54	49	49	57	59	56	56	63	21	36	59	47	49	55	43	45	21	21	55	43	46	14	2	73	56	AWARENESS
241095	RW	7	27	Nikola	Vlašić	10	0	79	63	50	71	64	70	51	57	23	74	63	22	63	66	64	59	35	65	59	22	22	51	58	58	6	3	82	66	PACE
230899	LM	7	31	Ademola	Lookman	14	0	95	78	62	76	61	85	59	49	30	93	63	30	78	80	68	67	30	79	70	30	30	69	79	44	22	3	82	74	LONGSHOTS
184484	CAM	7	18	Gylfi	Sigurdsson	24	0	66	58	77	85	87	80	61	79	56	67	85	22	82	83	87	68	57	81	82	22	22	79	85	90	14	2	82	80	LONGSHOTS
230005	CM	7	26	Tom	Davies	14	0	77	80	63	80	69	76	55	74	57	76	82	26	67	73	84	72	67	69	77	26	26	68	59	58	14	2	85	72	SHORTPASSING
138412	LB	9	7	James	Milner	14	0	69	79	87	78	85	77	69	81	76	66	84	50	66	85	91	73	77	75	86	22	22	84	77	77	20	3	80	77	PHYSICAL
140620	CB	9	17	Ragnar	Klavan	208	1	54	77	76	70	52	56	78	73	78	59	72	23	38	67	70	78	80	38	70	23	23	75	56	34	11	2	78	76	PHYSICAL
171833	ST	9	15	Daniel	Sturridge	14	1	74	60	79	81	62	80	73	62	23	78	74	23	83	83	68	71	24	84	81	23	23	82	80	68	7	1	82	79	POSITIONING
173426	GK	9	22	Simon	Mignolet	7	0	55	34	59	26	23	23	23	65	23	56	37	84	23	45	31	72	23	16	66	76	78	77	23	12	80	1	81	79	GKGENERALIST
180819	CM	9	20	Adam	Lallana	14	0	74	74	75	86	74	85	67	77	60	72	86	20	79	72	90	67	67	77	80	20	20	78	72	66	6	4	83	78	AWARENESS
181291	CM	9	5	Georginio	Wijnaldum	34	0	79	64	83	84	67	85	72	74	60	82	83	20	74	78	87	71	69	82	79	20	20	82	71	70	16	2	85	79	AWARENESS
183711	CDM	9	14	Jordan	Henderson	14	0	73	80	83	80	81	74	65	83	73	71	85	21	67	75	93	76	80	76	78	21	21	79	71	74	7	2	84	78	PASSING
184585	GK	9	34	Ádám	Bogdán	23	0	52	21	31	21	21	21	21	66	21	56	21	72	21	21	33	74	21	13	28	68	69	67	21	12	71	2	70	70	GKGENERALIST
189242	LW	9	10	Philippe	Coutinho Correia	54	0	88	55	79	88	77	88	47	78	24	77	85	22	74	80	80	61	44	83	85	22	22	81	86	82	12	3	89	83	DRIBBLING
190456	RB	9	2	Nathaniel	Clyne	14	0	82	76	67	76	79	76	67	67	81	83	77	22	54	74	87	71	83	72	75	22	22	76	69	39	10	1	84	79	AGGRESSION
195086	CB	9	6	Dejan	Lovren	10	0	57	87	79	67	59	63	77	66	78	55	68	23	33	63	70	86	83	21	70	23	23	75	34	18	14	3	83	79	AGGRESSION
195859	ST	9	28	Danny	Ings	14	0	83	60	55	76	62	77	71	61	33	82	69	23	77	74	75	73	24	79	70	23	23	74	67	36	10	2	80	75	HEADING
197061	CB	9	32	Joel	Matip	103	0	60	81	84	71	54	65	85	74	83	73	77	23	36	66	73	81	85	51	75	23	23	81	48	22	11	1	85	81	AGGRESSION
198784	RM	9	21	Alex	Oxlade-Chamberlain	14	0	87	66	69	82	75	85	39	73	52	88	78	24	68	75	76	70	57	74	73	24	24	74	74	53	16	3	85	79	AWARENESS
201942	ST	9	9	Roberto Firmino	Barbosa de Oliveira	54	0	77	66	76	85	72	87	72	75	30	77	83	24	83	79	86	76	59	84	78	24	24	82	80	67	8	3	87	81	ACCELERATION
201999	RB	9	38	Jon	Flanagan	14	0	68	88	61	73	67	67	62	63	75	62	66	24	43	35	63	71	75	52	67	24	24	60	32	26	7	2	76	69	AGGRESSION
203775	GK	9	1	Loris	Karius	21	0	51	25	30	23	25	25	25	74	25	50	35	85	25	25	36	55	25	8	34	74	76	78	25	14	84	2	84	80	GKPOSITIONING
205566	LB	9	18	Alberto	Moreno Pérez	45	1	87	83	70	79	78	76	61	64	63	88	74	25	59	80	85	64	72	69	63	25	25	69	74	40	10	2	79	74	BALANCED
207998	GK	9	52	Danny	Ward	50	0	47	25	41	23	25	25	25	63	25	42	30	73	25	25	22	60	25	19	30	69	67	67	25	14	70	2	78	69	GKGENERALIST
208333	CM	9	23	Emre	Can	21	0	69	83	78	80	70	76	70	80	78	73	81	25	60	79	85	84	80	73	74	25	25	77	72	65	14	3	85	77	LONGPASSING
208722	RW	9	19	Sadio	Mané	136	0	94	73	70	84	72	86	53	71	33	92	77	20	83	77	82	72	35	84	78	20	20	80	69	64	10	2	87	82	ACCELERATION
209331	RW	9	11	Mohamed	Salah	111	1	93	63	68	87	73	87	59	65	37	93	79	20	79	71	77	61	43	83	75	20	20	82	62	60	14	1	86	82	ACCELERATION
212125	RM	9	50	Lazar	Marković	51	0	89	41	70	81	68	83	58	57	32	91	71	20	66	65	61	55	39	73	76	20	20	73	60	62	8	2	80	76	CROSSING
215301	CB	9	51	Lloyd	Jones	14	0	46	51	39	40	32	32	61	43	61	48	52	21	24	44	32	76	64	28	55	21	21	58	28	36	6	1	70	60	DEFENDING
216267	LB	9	26	Andrew	Robertson	42	1	78	69	63	75	78	74	65	59	72	82	68	21	60	67	81	68	74	64	67	21	21	71	61	30	11	1	82	73	CROSSING
220710	RW	9	59	Harry	Wilson	50	1	77	31	50	62	55	63	47	54	36	76	56	22	61	60	50	45	37	56	53	22	22	50	53	62	7	2	79	61	LONGSHOTS
220940	CM	9	25	Cameron	Brannagan	14	0	64	75	62	64	68	63	53	76	62	66	74	22	58	74	69	63	64	63	67	22	22	63	67	74	12	2	79	67	SETPIECES
225100	CB	9	12	Joe	Gomez	14	0	75	63	45	65	57	65	69	53	69	78	65	23	26	41	67	78	71	51	63	23	23	65	26	29	8	2	83	70	STRENGTH
225539	ST	9	29	Dominic	Solanke	14	0	76	34	44	76	54	73	64	58	24	74	71	23	70	68	68	72	23	66	64	23	23	63	57	42	9	2	84	69	HEADING
228383	GK	9	65	Kamil	Grabara	37	0	41	26	29	23	23	23	23	46	23	37	27	58	23	21	31	50	23	12	30	52	54	56	23	19	56	2	72	55	GKPOSITIONING
231281	RB	9	66	Trent	Alexander-Arnold	14	0	81	69	62	63	70	68	56	67	63	81	73	20	56	62	78	59	66	62	65	20	20	60	63	74	14	2	85	68	REACTIONS
231863	CAM	9	39	Yan	Dhanda	14	0	68	50	51	61	46	66	34	62	46	72	66	20	58	58	53	38	53	46	54	20	20	54	55	50	6	2	81	60	SHORTPASSING
232099	CM	9	16	Marko	Grujić	51	0	63	75	71	72	60	67	69	72	66	71	74	20	70	75	78	78	72	72	60	20	20	64	62	43	9	2	85	70	SHORTPASSING
232102	CB	9	63	Conor	Masterson	25	0	50	56	30	35	29	33	62	32	55	54	35	20	30	46	57	70	64	33	50	20	20	50	22	37	9	2	74	58	PHYSICAL
236246	CAM	9	53	Oviemuno	Ejaria	14	0	71	46	68	75	56	68	57	71	45	74	74	21	57	67	60	75	47	50	60	21	21	63	47	49	15	2	81	67	LONGSHOTS
236247	CM	9	55	Herbie	Kane	14	0	70	66	58	62	45	55	56	63	49	73	72	21	60	63	56	43	57	60	51	21	21	55	50	46	11	2	76	62	LONGPASSING
236248	LW	9	58	Ben	Woodburn	50	0	82	31	45	67	50	66	44	58	21	73	65	21	62	66	64	56	21	64	60	21	21	60	62	45	14	3	85	64	ACCELERATION
237966	CAM	9	61	Paulo	Alves	38	0	59	47	58	62	52	60	48	63	45	62	62	21	52	63	54	53	48	48	64	21	21	60	46	52	11	2	71	58	SETPIECES
238410	CDM	9	64	Liam	Coyle	14	0	58	66	50	56	49	57	55	58	56	61	62	21	36	63	61	53	55	45	47	21	21	50	40	41	11	2	71	57	AWARENESS
238460	ST	9	57	Rhian	Brewster	14	0	78	40	37	58	46	56	55	48	21	77	50	21	63	54	64	56	21	58	55	21	21	59	55	41	7	2	79	60	SHOTPOWER
240906	RW	9	68	Bobby	Adekanye	34	1	77	45	44	62	54	60	49	43	29	75	50	22	58	63	56	59	35	52	55	22	22	50	48	44	8	1	73	59	LONGSHOTS
240909	LB	9	70	Juan	Rey	45	1	69	54	40	50	56	56	48	37	58	67	38	22	35	37	58	49	59	52	45	22	22	60	34	40	7	1	69	55	BALANCED
240912	CB	9	71	George	Johnston	14	1	62	54	36	38	35	29	57	37	56	60	35	22	30	46	58	67	60	26	46	22	22	48	24	37	8	1	70	57	STRENGTH
240913	GK	9	62	Caoimhin	Kelleher	25	0	37	21	20	22	22	22	22	46	22	33	25	52	22	25	22	52	22	4	25	54	53	48	22	11	53	1	69	52	REFLEXES
240924	ST	9	72	Glen	McAuley	25	0	59	50	45	55	41	52	56	35	22	57	50	22	58	58	54	69	22	55	48	22	22	57	56	34	8	2	74	57	SHOTPOWER
240925	ST	9	73	Liam	Millar	70	0	73	30	44	57	42	53	50	42	22	69	53	22	54	55	60	49	22	55	49	22	22	54	52	35	14	2	72	56	SHOTPOWER
240926	CB	9	67	Nathaniel	Phillips	14	0	56	60	36	35	30	33	64	29	61	59	41	22	23	45	59	70	60	25	51	22	22	56	21	35	9	2	68	60	TACKLING
215301	CB	9	51	Lloyd	Jones	14	0	59	64	52	53	45	45	74	56	74	61	65	34	37	57	45	89	77	41	68	34	34	71	41	49	19	1	70	74	DEFENDING
208722	LW	9	19	Sadio	Mané	136	0	99	79	77	91	78	93	59	77	39	98	83	26	89	83	88	78	41	90	84	26	26	86	75	70	16	2	87	88	PACE
231281	RB	9	66	Trent	Alexander-Arnold	14	0	84	72	65	66	73	71	59	70	66	84	76	23	59	65	81	62	69	65	68	23	23	63	66	77	17	2	85	70	REACTIONS
20289	CM	10	42	Yaya	Touré	108	0	61	78	85	82	67	78	72	81	68	64	84	20	82	86	73	92	77	80	83	20	20	82	80	86	13	3	83	80	GENERALIST
135507	CDM	10	25	Fernando Luiz	Rosa	54	0	73	86	75	78	68	77	55	79	72	73	82	22	69	83	80	75	83	68	73	22	22	82	78	71	12	3	82	77	PHYSICAL
139720	CB	10	4	Vincent	Kompany	7	0	61	87	83	68	61	63	84	66	84	64	72	23	45	75	74	88	85	41	81	23	23	84	55	52	10	2	85	83	MARKING
153079	ST	10	10	Sergio	Agüero	52	0	90	63	81	89	70	89	68	63	25	84	79	25	90	88	74	74	25	91	90	25	25	89	83	72	13	3	89	86	AGILITY
168542	CAM	10	21	David Josué	Jiménez Silva	45	1	72	51	86	90	83	84	54	79	25	65	91	50	71	71	78	56	44	81	92	22	22	84	73	75	20	1	87	82	SHORTPASSING
174543	GK	10	1	Claudio	Bravo	55	0	58	40	44	41	23	22	23	87	23	54	56	81	23	22	44	70	23	15	60	80	77	77	23	38	80	2	82	79	GKGENERALIST
183427	CM	10	18	Fabian	Delph	14	1	76	82	73	79	69	83	53	75	63	72	80	21	63	80	88	66	73	71	76	21	21	72	73	48	10	2	78	75	AWARENESS
186942	CM	10	8	İlkay	Gündoğan	21	0	73	68	85	88	74	87	49	83	57	70	88	21	72	77	71	74	67	79	86	21	21	87	74	74	11	3	87	81	SHORTPASSING
188377	RB	10	2	Kyle	Walker	14	0	86	78	71	76	78	77	73	67	79	93	75	22	51	86	90	77	84	66	75	22	22	81	68	71	12	1	84	81	CROSSING
190531	CB	10	15	Eliaquim	Mangala	18	1	67	89	64	50	58	46	80	58	78	73	60	22	27	67	75	88	80	39	64	22	22	66	48	48	10	3	81	79	AGGRESSION
192366	CB	10	30	Nicolás	Otamendi	52	0	62	90	76	64	52	41	83	66	81	64	71	22	53	69	76	80	83	49	84	22	22	78	56	39	12	2	83	80	AGGRESSION
192985	CAM	10	17	Kevin	De Bruyne	7	0	76	68	85	87	90	85	53	84	30	75	90	23	83	85	87	73	51	84	84	23	23	88	86	83	15	3	92	85	LONGSHOTS
199304	RB	10	3	Danilo Luiz	da Silva	54	0	75	74	78	77	71	73	68	69	72	80	76	24	61	85	83	79	77	75	69	24	24	79	72	76	14	3	81	75	REACTIONS
202652	RW	10	7	Raheem	Sterling	14	0	94	34	78	84	73	85	38	67	48	92	81	24	73	68	75	64	58	81	74	24	24	79	70	49	15	2	87	82	SPEED
203574	CB	10	5	John	Stones	14	0	71	73	82	77	62	69	77	71	80	71	80	25	29	46	79	79	83	48	79	25	25	75	38	29	7	2	85	79	DEFENDING
204884	LB	10	22	Benjamin	Mendy	18	1	81	75	77	77	84	76	66	68	78	86	78	25	33	68	82	81	79	70	70	25	25	80	63	29	7	2	86	80	CROSSING
210257	GK	10	31	Ederson	Santana de Moraes	54	1	64	35	38	30	20	21	20	82	20	63	20	87	20	42	38	68	20	16	58	76	78	86	20	20	81	1	89	81	GKPOSITIONING
211593	CB	10	46	Shay	Facey	14	0	67	75	54	59	44	56	57	51	62	72	62	20	28	26	63	61	64	48	57	20	20	64	22	31	8	1	71	64	AGGRESSION
216321	CAM	10	63	Sinan	Bytyqi	219	0	64	61	55	67	52	68	50	59	33	66	66	21	56	63	53	64	44	54	60	21	21	60	56	66	9	2	71	62	SETPIECES
218667	RM	10	20	Bernardo Mota	Carvalho e Silva	38	1	85	58	61	89	79	91	51	78	46	78	84	21	76	72	80	54	44	77	84	21	21	84	64	63	9	2	91	82	CROSSING
222104	CB	10	24	Tosin	Adarabioyo	14	0	52	52	59	62	30	44	65	49	61	58	59	22	30	31	71	75	66	28	70	22	22	54	22	22	14	2	80	63	DEFENDING
222492	LW	10	19	Leroy	Sané	21	1	93	58	68	84	76	87	72	64	26	94	75	22	78	78	80	70	32	82	76	22	22	79	77	62	8	2	91	82	ACCELERATION
223912	CB	10	58	Charlie	Oliver	14	0	49	58	47	42	26	38	60	46	56	53	55	22	22	50	58	66	59	27	46	22	22	50	29	30	6	2	69	58	PHYSICAL
223963	CB	10	77	Cameron	Humphreys-Grant	14	0	68	56	51	50	48	45	60	51	66	67	55	22	24	44	64	71	65	50	46	22	22	56	33	35	7	1	79	63	DEFENDING
224322	GK	10	60	Kjetil	Haug	36	0	41	26	24	21	22	22	22	49	22	49	31	54	22	24	27	46	22	12	31	50	53	47	22	29	54	2	66	52	GKPOSITIONING
224947	GK	10	96	Daniel	Grimshaw	14	0	44	21	23	26	23	23	23	55	23	47	31	50	23	21	42	42	21	15	31	51	48	51	23	14	50	1	61	50	GKPOSITIONING
224949	LW	10	87	Javairo	Dilrosun	34	1	80	35	45	63	52	64	32	45	26	82	56	23	57	56	51	60	30	52	47	23	23	46	42	49	8	2	74	60	LONGSHOTS
224951	LB	10	83	Marcus	Wood	14	0	63	65	46	53	39	51	49	50	55	59	57	23	47	51	69	69	56	28	46	23	23	51	44	36	8	2	73	54	PHYSICAL
225414	CM	10	95	Divine	Naah	117	0	72	42	55	65	46	69	39	53	40	70	64	23	51	63	64	57	48	54	54	23	23	62	55	55	16	2	70	59	PASSING
227813	CAM	10	35	Oleksandr	Zinchenko	49	1	75	59	62	70	78	76	52	76	51	70	72	23	58	69	59	56	62	64	61	23	23	70	62	74	15	2	82	69	LONGPASSING
229670	ST	10	51	David	Faupala	18	0	70	37	43	55	36	59	64	35	23	70	54	23	66	70	51	62	23	52	52	23	23	60	57	39	10	2	74	62	ACCELERATION
229718	CM	10	85	Will	Patching	14	0	68	43	54	63	50	60	43	64	37	66	65	23	47	68	55	49	40	42	53	23	23	53	57	70	6	2	75	57	AWARENESS
230068	RB	10	81	Dumeaco	Duhaney	14	0	72	56	41	59	56	57	50	44	52	78	51	20	27	51	67	63	59	50	46	20	20	54	25	30	14	3	76	58	PHYSICAL
230069	CB	10	86	Ash	Kigbu	14	1	56	47	33	29	29	35	40	29	41	54	38	20	21	31	62	65	51	22	39	20	20	41	20	27	7	2	70	48	PHYSICAL
230070	CDM	10	82	Jacob	Davenport	14	0	60	54	45	50	30	47	42	50	49	62	53	20	33	61	66	59	54	28	42	20	20	53	37	34	5	2	67	52	PHYSICAL
230081	CDM	10	84	Sadou	Diallo	14	0	66	58	42	62	32	56	43	56	55	65	63	20	51	65	63	62	60	27	50	20	20	46	46	44	15	2	75	57	PHYSICAL
230084	ST	10	94	Lukas	Nmecha	14	0	71	33	33	59	31	57	46	27	20	74	44	20	62	68	60	62	20	55	48	20	20	48	48	33	9	2	75	58	POSITIONING
230666	ST	10	33	Gabriel	Fernando de Jesus	54	0	89	56	68	85	66	87	66	66	20	85	75	20	83	78	84	63	20	83	84	20	20	82	73	54	13	3	92	80	ACCELERATION
231032	LB	10	71	Erik	Sarmiento Martínez	45	1	72	48	48	55	55	55	49	51	44	68	54	20	33	51	59	52	47	56	44	20	20	44	37	33	14	2	72	53	PHYSICAL
231410	CAM	10	55	Brahim	Díaz	45	0	78	28	56	72	43	73	30	48	22	75	63	20	65	69	62	43	23	61	57	20	20	54	62	47	13	3	85	65	SHORTPASSING
233047	CB	10	64	Joel	Latibeaudiere	14	0	57	45	26	30	21	32	42	32	45	54	36	20	20	32	62	45	52	21	43	20	20	45	22	28	12	2	73	47	PHYSICAL
233048	CM	10	72	Tom	Dele-Bashiru	14	0	70	55	49	52	39	55	48	51	29	72	56	20	49	53	53	57	40	52	39	20	20	52	43	49	6	1	75	52	AWARENESS
233164	GK	10	49	Arijanet	Muric	47	0	44	24	29	22	20	20	20	60	20	46	32	65	20	21	29	68	20	11	33	61	62	59	20	11	63	1	81	62	GKGENERALIST
237692	CAM	10	47	Phil	Foden	14	1	78	47	59	65	55	61	47	61	53	70	65	21	55	65	69	30	49	60	69	21	21	62	56	53	8	2	84	63	LONGSHOTS
240473	LB	10	90	Tyreke	Wilson	25	1	69	50	38	44	50	55	43	32	44	62	46	21	28	36	43	32	55	44	40	21	21	44	31	37	7	1	70	50	REACTIONS
231410	CAM	10	55	Brahim	Díaz	45	0	87	37	65	81	52	82	39	57	31	84	72	29	74	78	71	52	32	70	66	29	29	63	71	56	22	3	85	74	GENERALIST
188377	RB	10	2	Kyle	Walker	14	0	87	79	72	77	79	78	74	68	80	94	76	23	52	87	91	78	85	67	76	23	23	82	69	72	13	1	84	81	CROSSING
230666	ST	10	33	Gabriel	Fernando de Jesus	54	0	94	62	73	90	71	92	71	70	25	90	80	24	88	83	90	68	25	88	88	23	23	86	78	60	16	3	92	83	AGILITY
237692	CM	10	47	Phil	Foden	14	1	85	54	66	72	62	68	54	68	60	77	72	28	62	72	76	37	56	67	76	28	28	69	63	60	15	2	84	70	LONGSHOTS
135507	CDM	10	25	Fernando Luiz	Rosa	54	0	81	94	83	86	76	85	63	87	80	81	90	30	77	91	88	83	91	76	81	30	30	90	86	79	20	3	82	85	GENERALIST
21146	CDM	11	16	Michael	Carrick	14	0	43	64	87	79	72	71	71	85	73	44	87	21	59	78	65	66	76	66	88	21	21	85	64	59	13	2	80	75	PHYSICAL
41236	ST	11	10	Zlatan	Ibrahimović	46	0	63	84	72	88	76	82	80	76	24	67	84	24	88	91	71	88	41	86	91	24	24	86	85	82	13	3	88	86	FINISHING
152908	RB	11	18	Ashley	Young	14	0	79	58	71	79	84	78	54	69	64	76	77	25	65	75	73	57	68	68	65	25	25	79	70	72	16	2	75	72	PHYSICAL
167905	RB	11	25	Antonio	Valencia	57	0	88	83	84	81	85	82	64	69	78	87	77	22	58	85	90	85	83	75	82	22	22	86	62	66	16	0	83	81	PACE
173373	GK	11	20	Sergio	Romero	52	0	47	33	42	40	23	23	23	81	23	44	39	82	23	23	35	75	23	11	63	76	78	77	23	13	78	2	80	78	GKGENERALIST
176944	CM	11	27	Marouane	Fellaini	7	0	50	94	84	84	61	73	91	66	73	50	81	20	72	75	83	92	76	80	78	20	20	81	68	46	8	2	79	74	AWARENESS
178088	CAM	11	8	Juan Manuel	Mata García	45	1	71	52	85	87	84	82	59	77	25	63	86	20	79	75	75	43	28	83	85	20	20	84	70	84	9	2	84	81	SHORTPASSING
184392	LB	11	36	Matteo	Darmian	27	0	78	76	79	75	71	74	68	66	81	77	76	21	55	69	88	65	84	64	76	21	21	80	56	35	6	4	81	77	AGGRESSION
189881	CB	11	12	Chris	Smalling	14	0	69	83	80	58	52	59	83	63	80	75	66	22	50	42	77	87	82	48	71	22	22	78	35	22	10	2	82	80	AGGRESSION
190815	LB	11	17	Daley	Blind	34	1	63	70	85	80	80	73	71	80	80	58	81	22	46	68	86	74	83	68	83	22	22	84	62	62	12	3	81	76	REACTIONS
191202	CDM	11	31	Nemanja	Matić	51	1	62	83	81	78	68	72	77	78	75	66	83	22	64	78	89	89	83	68	84	22	22	82	75	67	7	2	83	80	HOLDING
191740	CM	11	21	Ander	Herrera Agüera	45	0	76	86	86	86	74	81	60	80	80	70	86	22	71	72	87	70	78	78	84	22	22	85	72	65	9	3	84	81	SHORTPASSING
192505	ST	11	9	Romelu	Lukaku	7	1	76	72	78	75	68	77	87	68	27	89	71	23	89	88	80	93	30	87	84	23	23	85	75	66	8	3	90	84	HEADING
192883	RM	11	22	Henrikh	Mkhitaryan	3	0	88	69	88	87	79	87	53	72	49	84	84	23	77	87	86	63	53	82	79	23	23	82	75	64	5	4	85	83	PACE
193080	GK	11	1	David	De Gea Quintana	45	0	57	38	60	42	23	23	21	87	23	58	50	90	23	31	40	64	21	12	64	85	86	88	23	19	90	2	92	88	GKDIVING
194957	CB	11	4	Phil	Jones	14	0	51	85	73	68	64	60	75	67	77	64	73	23	50	68	75	80	80	42	72	23	23	76	59	35	10	2	80	77	AGGRESSION
195864	CM	11	6	Paul	Pogba	18	0	72	75	78	89	78	86	73	88	66	76	86	23	71	90	91	91	68	83	85	23	23	84	82	82	5	3	92	84	PASSING
201862	CB	11	5	Marcos	Rojo	52	1	70	92	74	68	75	67	82	73	79	71	72	24	50	79	79	82	82	57	74	24	24	77	63	57	7	1	83	81	DEFENDING
205988	LB	11	23	Luke	Shaw	14	1	80	74	69	78	80	77	65	64	74	84	75	25	44	62	74	79	79	73	75	25	25	77	48	58	10	1	84	77	BALANCED
207494	RM	11	14	Jesse	Lingard	14	0	84	66	74	82	72	79	61	65	52	83	75	25	72	76	79	61	46	79	75	25	25	75	80	56	14	2	80	77	SETPIECES
211300	LM	11	11	Anthony	Martial	18	0	92	59	75	84	73	88	70	58	35	89	75	20	81	84	79	76	39	80	79	20	20	81	70	54	9	2	90	80	CROSSING
212710	GK	11	40	Joel	Castro Pereira	38	0	43	22	26	20	20	20	20	63	20	43	36	72	20	20	34	56	20	14	54	74	68	68	20	11	69	1	84	70	REFLEXES
213642	ST	11	32	James	Wilson	14	1	74	36	42	69	45	68	62	52	20	76	59	20	70	67	68	67	23	71	60	20	20	66	59	42	9	3	76	68	POSITIONING
213678	GK	11	45	Kieran	O'Hara	25	0	49	25	27	20	20	20	20	54	20	41	26	61	20	23	43	50	20	13	25	55	56	51	20	11	58	1	70	57	GKPOSITIONING
221660	CB	11	2	Victor	Lindelöf	46	0	68	80	75	62	48	59	78	68	79	72	74	22	36	68	77	79	79	37	70	22	22	78	57	66	12	2	86	78	STRENGTH
225508	CB	11	3	Eric	Bailly	108	0	75	87	70	68	51	63	81	56	82	80	72	23	33	55	78	85	85	47	74	23	23	78	48	43	14	2	89	82	DEFENDING
231485	CB	11	38	Axel	Tuanzebe	14	0	74	70	61	63	42	63	71	65	73	76	70	20	26	46	69	74	74	41	68	20	20	66	34	37	5	2	84	72	STRENGTH
231677	ST	11	19	Marcus	Rashford	14	0	93	67	71	80	72	84	68	65	29	92	74	20	79	82	83	73	37	81	74	20	20	78	70	75	11	3	90	80	ACCELERATION
233114	RB	11	41	Joe	Riley	14	0	78	71	36	65	67	66	61	56	55	77	64	20	28	64	70	60	63	55	57	20	20	63	35	63	8	2	78	64	REACTIONS
233510	LW	11	53	Tahith	Chong	34	1	79	51	50	65	62	68	50	52	23	77	58	20	56	53	51	66	22	60	60	20	20	53	52	60	13	3	84	63	LONGSHOTS
237160	CB	11	46	Ro-Shaun	Williams	14	0	72	63	34	50	32	51	63	30	61	71	46	21	27	43	51	65	68	29	49	21	21	50	30	36	7	2	80	63	STRENGTH
237238	CM	11	39	Scott	McTominay	42	0	61	64	58	64	66	55	66	62	58	66	68	21	55	64	60	75	60	61	57	21	21	62	61	34	9	2	77	62	LONGPASSING
237310	LB	11	35	Demetri	Mitchell	14	1	73	55	50	67	62	68	58	61	59	73	63	21	57	61	59	58	62	45	57	21	21	62	64	65	13	2	80	63	CROSSING
237696	CB	11	47	Tyrell	Warren	14	0	72	57	30	56	46	54	62	49	60	70	56	21	24	44	58	61	65	34	48	21	21	50	27	31	12	2	81	62	STRENGTH
237697	CM	11	44	DJ	Buffonge	14	1	70	49	63	71	53	71	55	70	42	70	72	21	53	65	37	54	49	52	63	21	21	61	46	51	14	3	79	64	SHORTPASSING
237698	CAM	11	37	Callum	Gribbin	14	1	70	50	62	67	62	68	54	60	40	69	66	21	45	65	64	58	35	59	51	21	21	60	55	72	7	2	81	63	LONGSHOTS
237699	ST	11	48	Zachary	Dearnley	14	0	69	64	54	63	55	64	62	57	30	68	59	21	62	66	55	59	30	66	50	21	21	52	46	48	7	3	80	62	SHOTPOWER
